,826
mean_fit_time,7.675534427165985
std_fit_time,0.32990754857108145
mean_score_time,0.15579712390899658
std_score_time,0.016957312894805926
param_Kmean__n_clusters,250
param_clf__max_depth,25
param_clf__n_estimators,250
param_pca__n_components,0.86
params,"{'Kmean__n_clusters': 250, 'clf__max_depth': 25, 'clf__n_estimators': 250, 'pca__n_components': 0.86}"
mean_test_accuracy,0.531
std_test_accuracy,0.02570992026436486
rank_test_accuracy,10
mean_train_accuracy,1.0
std_train_accuracy,0.0
mean_test_f1_weighted,0.530506466256468
std_test_f1_weighted,0.028335268022941222
rank_test_f1_weighted,8
mean_train_f1_weighted,1.0
std_train_f1_weighted,0.0
mean_test_roc_auc_ovr,0.8864048922931118
std_test_roc_auc_ovr,0.007987801663885918
rank_test_roc_auc_ovr,1
mean_train_roc_auc_ovr,1.0
std_train_roc_auc_ovr,0.0
best_final_test_accuracy,0.542
best_final_test_roc_ovr,0.8949880110302505
best_final_test_f1_weighted,0.5422095523983157
