,3278
mean_fit_time,36.209777653217316
std_fit_time,3.5799950025076956
mean_score_time,0.4005368947982788
std_score_time,0.12147584284428432
param_Kmean__n_clusters,250
param_clf__C,1.25
param_clf__gamma,0.04285714285714286
param_clf__kernel,rbf
param_pca__n_components,0.99
params,"{'Kmean__n_clusters': 250, 'clf__C': 1.25, 'clf__gamma': 0.04285714285714286, 'clf__kernel': 'rbf', 'pca__n_components': 0.99}"
mean_test_accuracy,0.558
std_test_accuracy,0.021307275752662492
rank_test_accuracy,2
mean_train_accuracy,0.8873333333333333
std_train_accuracy,0.005944184833375705
mean_test_f1_weighted,0.5571975996318568
std_test_f1_weighted,0.017828809665804773
rank_test_f1_weighted,5
mean_train_f1_weighted,0.887721753982423
std_train_f1_weighted,0.0060626155897716
mean_test_roc_auc_ovr,0.8953394927362583
std_test_roc_auc_ovr,0.00610073777016476
rank_test_roc_auc_ovr,1
mean_train_roc_auc_ovr,0.9932893412020366
std_train_roc_auc_ovr,0.0007711083912298666
best_final_test_accuracy,0.592
best_final_test_roc_ovr,0.9147455906079642
best_final_test_f1_weighted,0.5893781600828064
