Alpha,train_score,test_score
0.0,0.6057684998841367,0.6043766425225054
0.01,0.6057684969318464,0.6043768245804377
0.02,0.6057684880827738,0.6043770014948204
0.03,0.6057684733485982,0.6043771732759908
0.04,0.6057684527409744,0.6043773399342637
0.05,0.6057684262715334,0.6043775014799326
0.06,0.6057683939518819,0.6043776579232698
0.07,0.6057683557936024,0.6043778092745256
0.08,0.6057683118082535,0.6043779555439286
0.09,0.6057682620073701,0.6043780967416866
0.1,0.6057682064024625,0.6043782328779861
0.11,0.6057681450050177,0.6043783639629914
0.12,0.6057680778264991,0.6043784900068465
0.13,0.6057680048783456,0.6043786110196736
0.14,0.6057679261719731,0.6043787270115739
0.15,0.6057678417187735,0.6043788379926276
0.16,0.6057677515301152,0.6043789439728937
0.17,0.6057676556173432,0.6043790449624104
0.18,0.6057675539917791,0.6043791409711943
0.19,0.6057674466647205,0.6043792320092418
0.2,0.6057673336474425,0.604379318086528
0.21,0.6057672149511961,0.6043793992130073
0.22,0.6057670905872099,0.6043794753986136
0.23,0.6057669605666882,0.6043795466532595
0.24,0.605766824900813,0.6043796129868374
0.25,0.6057666836007434,0.6043796744092187
0.26,0.6057665366776144,0.6043797309302545
0.27,0.605766384142539,0.6043797825597753
0.28,0.6057662260066068,0.6043798293075913
0.29,0.6057660622808847,0.6043798711834913
0.3,0.6057658929764169,0.6043799081972453
0.31,0.605765718104224,0.6043799403586017
0.32,0.6057655376753053,0.6043799676772887
0.33,0.6057653517006361,0.6043799901630149
0.34,0.60576516019117,0.6043800078254682
0.35000000000000003,0.6057649631578371,0.6043800206743165
0.36,0.6057647606115463,0.6043800287192076
0.37,0.6057645525631827,0.6043800319697691
0.38,0.6057643390236098,0.6043800304356086
0.39,0.6057641200036685,0.604380024126314
0.4,0.6057638955141774,0.604380013051453
0.41000000000000003,0.6057636655659329,0.6043799972205731
0.42,0.605763430169709,0.6043799766432028
0.43,0.6057631893362578,0.6043799513288501
0.44,0.6057629430763094,0.6043799212870037
0.45,0.6057626914005712,0.6043798865271321
0.46,0.6057624343197292,0.6043798470586847
0.47000000000000003,0.6057621718444475,0.604379802891091
0.48,0.6057619039853678,0.6043797540337608
0.49,0.6057616307531104,0.6043797004960849
0.5,0.6057613521582734,0.6043796422874339
0.51,0.6057610682114338,0.6043795794171595
0.52,0.6057607789231461,0.6043795118945939
0.53,0.6057604843039436,0.60437943972905
0.54,0.6057601843643379,0.6043793629298211
0.55,0.6057598791148193,0.6043792815061817
0.56,0.6057595685658561,0.6043791954673867
0.5700000000000001,0.6057592527278957,0.6043791048226723
0.58,0.6057589316113634,0.604379009581255
0.59,0.6057586052266639,0.6043789097523327
0.6,0.60575827358418,0.6043788053450838
0.61,0.6057579366942736,0.6043786963686686
0.62,0.6057575945672854,0.6043785828322272
0.63,0.6057572472135344,0.6043784647448818
0.64,0.6057568946433194,0.6043783421157354
0.65,0.6057565368669172,0.6043782149538721
0.66,0.6057561738945842,0.6043780832683573
0.67,0.605755805736556,0.6043779470682378
0.68,0.6057554324030462,0.6043778063625415
0.6900000000000001,0.6057550539042487,0.6043776611602778
0.7000000000000001,0.6057546702503359,0.6043775114704376
0.71,0.6057542814514599,0.604377357301993
0.72,0.6057538875177517,0.6043771986638977
0.73,0.6057534884593214,0.6043770355650868
0.74,0.6057530842862594,0.6043768680144774
0.75,0.6057526750086344,0.6043766960209677
0.76,0.6057522606364951,0.6043765195934379
0.77,0.6057518411798699,0.6043763387407495
0.78,0.6057514166487664,0.6043761534717462
0.79,0.6057509870531717,0.6043759637952533
0.8,0.605750552403053,0.604375769720078
0.81,0.6057501127083567,0.604375571255009
0.8200000000000001,0.6057496679790093,0.6043753684088173
0.8300000000000001,0.6057492182249169,0.6043751611902558
0.84,0.6057487634559653,0.6043749496080593
0.85,0.6057483036820206,0.6043747336709446
0.86,0.6057478389129285,0.6043745133876106
0.87,0.6057473691585147,0.6043742887667383
0.88,0.6057468944285848,0.6043740598169909
0.89,0.6057464147329246,0.6043738265470138
0.9,0.6057459300813,0.6043735889654345
0.91,0.6057454404834572,0.6043733470808629
0.92,0.6057449459491222,0.6043731009018913
0.93,0.6057444464880015,0.6043728504370941
0.9400000000000001,0.6057439421097819,0.6043725956950283
0.9500000000000001,0.6057434328241302,0.6043723366842333
0.96,0.605742918640694,0.6043720734132307
0.97,0.6057423995691011,0.6043718058905254
0.98,0.6057418756189599,0.6043715341246036
0.99,0.6057413467998589,0.6043712581239352
1.0,0.6057408131213676,0.6043709778969724
1.01,0.6057402745930359,0.6043706934521498
1.02,0.6057397312243943,0.6043704047978851
1.03,0.6057391830249539,0.6043701119425784
1.04,0.605738630004207,0.6043698148946127
1.05,0.6057380721716259,0.6043695136623541
1.06,0.6057375095366643,0.6043692082541514
1.07,0.6057369421087566,0.6043688986783359
1.08,0.6057363698973178,0.6043685849432225
1.09,0.6057357929117443,0.6043682670571087
1.1,0.6057352111614132,0.6043679450282751
1.11,0.6057346246556826,0.6043676188649854
1.12,0.6057340334038919,0.6043672885754865
1.1300000000000001,0.6057334374153612,0.6043669541680079
1.1400000000000001,0.6057328366993924,0.6043666156507632
1.1500000000000001,0.6057322312652678,0.6043662730319483
1.16,0.6057316211222514,0.6043659263197431
1.17,0.6057310062795888,0.6043655755223101
