,Model_ID,Attribute,train_mean,train_std,test_mean,test_std
1,knn,3.0,0.951231884057971,0.0016324464240679644,0.9069565217391304,0.01432511744133514
121,logistic,2.3000000000000003,0.9391304347826086,0.004689195328095934,0.9371014492753623,0.013771929296469126
210,svm,1.2000000000000002,0.9402898550724638,0.003294910882431736,0.9371014492753623,0.013267005787067599
