,989
mean_fit_time,10.553757727146149
std_fit_time,0.3109753486537834
mean_score_time,0.37000375986099243
std_score_time,0.009768546381521493
param_clf__max_depth,125
param_clf__n_estimators,950
param_pca__n_components,0.9
params,"{'clf__max_depth': 125, 'clf__n_estimators': 950, 'pca__n_components': 0.9}"
mean_test_accuracy,0.664
std_test_accuracy,0.022583179581272404
rank_test_accuracy,1
mean_train_accuracy,1.0
std_train_accuracy,0.0
mean_test_f1_weighted,0.6668834660142797
std_test_f1_weighted,0.022135932633341782
rank_test_f1_weighted,1
mean_train_f1_weighted,1.0
std_train_f1_weighted,0.0
mean_test_roc_auc_ovr,0.923174875840247
std_test_roc_auc_ovr,0.010058029196774787
rank_test_roc_auc_ovr,1
mean_train_roc_auc_ovr,1.0
std_train_roc_auc_ovr,0.0
best_final_test_accuracy,0.798
best_final_test_roc_ovr,0.9725134946785511
best_final_test_f1_weighted,0.799036752321224
